,timestamp,Qmc,Qhv,Qlv,Qmv,Label
97,04/10/2015 03:00,0.001255099,0.006677796,0.020787187,0.015328141,0
98,06/10/2015 09:00,0.825227487,0.492487479,0.603680354,0.653412978,2
99,07/10/2015 19:00,0.748038908,0.392320534,0.859601295,0.827824851,3
100,08/10/2015 10:00,0.741135864,0.492487479,0.800817857,0.791537288,3
101,10/10/2015 04:00,0.008785692,0.001669449,0.001874255,0.001473607,0
102,06/10/2015 02:00,0.02196423,0.023372287,0.07667405,0.063667702,0
103,09/10/2015 01:00,0.061499843,0.050083472,0.142443346,0.12382243,0
104,10/10/2015 21:00,0.475368685,0.293823038,0.607258477,0.577140677,1
105,07/10/2015 12:00,0.707875745,0.407345576,0.760095417,0.745789695,2
106,09/10/2015 08:00,1,0.69115192,0.950417448,0.970830483,3
107,08/10/2015 15:00,0.630687167,0.437395659,0.808826035,0.773551392,3
108,08/10/2015 00:00,0.138374647,0.075125209,0.258817516,0.229145834,1
109,06/10/2015 03:00,0.01066834,0.008347245,0.039018572,0.031156255,0
110,04/10/2015 10:00,0.847819266,0.447412354,0.663486113,0.698765854,2
111,05/10/2015 20:00,0.516159398,0.312186978,0.623445221,0.598363244,2
112,10/10/2015 12:00,0.688421713,0.355592654,0.766910888,0.742487238,2
113,09/10/2015 02:00,0.038280515,0.01836394,0.067984324,0.059181096,0
114,04/10/2015 22:00,0.317226232,0.233722871,0.518827739,0.476172307,1
115,06/10/2015 01:00,0.077188579,0.056761269,0.132390526,0.119375296,0
116,04/10/2015 16:00,0.472858488,0.444073456,0.789913103,0.733158781,2
117,11/10/2015 00:00,0.159397553,0.116861436,0.264781053,0.241553076,1
118,05/10/2015 21:00,0.416692815,0.247078464,0.570625319,0.534221883,1
119,05/10/2015 18:00,0.737056793,0.365609349,0.89793832,0.85284985,3
120,09/10/2015 10:00,0.933165987,0.549248748,0.947009712,0.942450397,3
121,10/10/2015 17:00,0.951992469,0.664440735,0.924177884,0.939779485,3
122,07/10/2015 10:00,0.796360213,0.539232053,0.746634861,0.763749276,3
123,04/10/2015 01:00,0.080012551,0.053422371,0.093201568,0.089245303,0
124,08/10/2015 18:00,0.751804205,0.512520868,0.709831317,0.725119731,2
125,09/10/2015 21:00,0.39974898,0.282136895,0.746634861,0.670885743,2
126,05/10/2015 10:00,0.667085033,0.437395659,0.658033737,0.663215094,2
